emission_experiment,CO2,CH4_lifetime,Strat_H2O,Aerosol,Cloud,O3,HC,N2O,HFCs
CO2,2.0575541755746745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4,0.0175490765324245,0.8444565783078388,0.05,-0.0026532580682803,0.0184208616386213,0.2667358153954373,0.0,0.0,0.0
N2O,0.0,-0.0359673047687649,0.0,-0.0020904455899627,0.0425029813396248,0.0261238240001306,0.0,0.2099999999999999,0.0
HC,5.3086374003635685e-05,-0.0509267637641753,0.0,-0.0080803768443082,-0.0174192548529915,-0.1620326501338995,0.41,0.0,0.039772376284026384
NOx,0.0,-0.3800247113463441,0.0,-0.0091658005995138,-0.0144579808904382,0.1371023996751788,0.0,0.0,0.0
VOC,0.0694906581432429,0.1624622015714455,0.0,-0.0025728561478319,0.0088838197973492,0.2020706110631527,0.0,0.0,0.0
SO2,0.0,0.0,0.0,-0.2342275546561359,-0.7037843805039116,0.0,0.0,0.0,0.0
OC,0.0,0.0,0.0,-0.072143350309793,-0.1369186108585034,0.0,0.0,0.0,0.0
BC,0.0,0.0,0.0,0.1447023812666666,-0.0372274356697506,0.0,0.0,0.0,0.0
NH3,0.0,0.0,0.0,-0.0337687390508404,0.0,0.0,0.0,0.0,0.0
